"cle_unique";"colonne";"valeur"
E855284_P1_7;source_du_fichier;GLASSDOOR
E855284_P1_7;type_du_fichier;AVIS-SOC
E855284_P1_7;lien_fichier;D:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE//GLASSDOOR/AVI/2023-12-13-10-13554-AVIS-SOC-GLASSDOOR-E855284_P1.html
E855284_P1_7;taille_du_fichier;54
E6162_P1_8;date_heure_recuperation;2023-12-13
E6162_P1_8;nom_fichier;2023-12-13-10-13558-AVIS-SOC-GLASSDOOR-E6162_P1.html
E6162_P1_8;provenance_du_fichier;D:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/
E6162_P1_8;destination_du_fichier;D:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR\AVI
E6162_P1_8;source_du_fichier;GLASSDOOR
E6162_P1_8;type_du_fichier;AVIS-SOC
E6162_P1_8;lien_fichier;D:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE//GLASSDOOR/AVI/2023-12-13-10-13558-AVIS-SOC-GLASSDOOR-E6162_P1.html
E6162_P1_8;taille_du_fichier;52
E6162_P2_9;date_heure_recuperation;2023-12-13
E6162_P2_9;nom_fichier;2023-12-13-10-13558-AVIS-SOC-GLASSDOOR-E6162_P2.html
E6162_P2_9;provenance_du_fichier;D:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/
E6162_P2_9;destination_du_fichier;D:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR\AVI
E6162_P2_9;source_du_fichier;GLASSDOOR
E6162_P2_9;type_du_fichier;AVIS-SOC
E6162_P2_9;lien_fichier;D:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE//GLASSDOOR/AVI/2023-12-13-10-13558-AVIS-SOC-GLASSDOOR-E6162_P2.html
E6162_P2_9;taille_du_fichier;52
E13824_P1_10;date_heure_recuperation;2023-12-13
E13824_P1_10;nom_fichier;2023-12-13-10-13559-AVIS-SOC-GLASSDOOR-E13824_P1.html
E13824_P1_10;provenance_du_fichier;D:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/
E13824_P1_10;destination_du_fichier;D:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR\AVI
E13824_P1_10;source_du_fichier;GLASSDOOR
E13824_P1_10;type_du_fichier;AVIS-SOC
E13824_P1_10;lien_fichier;D:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE//GLASSDOOR/AVI/2023-12-13-10-13559-AVIS-SOC-GLASSDOOR-E13824_P1.html
E13824_P1_10;taille_du_fichier;53
E1303620_P1_11;date_heure_recuperation;2023-12-13
E1303620_P1_11;nom_fichier;2023-12-13-10-13562-AVIS-SOC-GLASSDOOR-E1303620_P1.html
E1303620_P1_11;provenance_du_fichier;D:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/
E1303620_P1_11;destination_du_fichier;D:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR\AVI
E1303620_P1_11;source_du_fichier;GLASSDOOR
E1303620_P1_11;type_du_fichier;AVIS-SOC
E1303620_P1_11;lien_fichier;D:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE//GLASSDOOR/AVI/2023-12-13-10-13562-AVIS-SOC-GLASSDOOR-E1303620_P1.html
E1303620_P1_11;taille_du_fichier;55
E13082_P1_12;date_heure_recuperation;2023-12-13
E13082_P1_12;nom_fichier;2023-12-13-10-13563-AVIS-SOC-GLASSDOOR-E13082_P1.html
E13082_P1_12;provenance_du_fichier;D:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/
E13082_P1_12;destination_du_fichier;D:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR\AVI
E13082_P1_12;source_du_fichier;GLASSDOOR
E13082_P1_12;type_du_fichier;AVIS-SOC
E13082_P1_12;lien_fichier;D:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE//GLASSDOOR/AVI/2023-12-13-10-13563-AVIS-SOC-GLASSDOOR-E13082_P1.html
E13082_P1_12;taille_du_fichier;53
E13082_P2_13;date_heure_recuperation;2023-12-13
E13082_P2_13;nom_fichier;2023-12-13-10-13563-AVIS-SOC-GLASSDOOR-E13082_P2.html
E13082_P2_13;provenance_du_fichier;D:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/
E13082_P2_13;destination_du_fichier;D:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR\AVI
E13082_P2_13;source_du_fichier;GLASSDOOR
E13082_P2_13;type_du_fichier;AVIS-SOC
E13082_P2_13;lien_fichier;D:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE//GLASSDOOR/AVI/2023-12-13-10-13563-AVIS-SOC-GLASSDOOR-E13082_P2.html
E13082_P2_13;taille_du_fichier;53
E4245_P1_14;date_heure_recuperation;2023-12-13
E4245_P1_14;nom_fichier;2023-12-13-10-13564-AVIS-SOC-GLASSDOOR-E4245_P1.html
E4245_P1_14;provenance_du_fichier;D:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/
